Anio;Trimestre;Provincia;Penetracion;Tecnologia;Dia;Mes;Fecha
2015;1;Capital Federal;114.8969971;Internet;1;1;1-1-2015
2015;1;Catamarca;25.10946633;Internet;1;1;1-1-2015
2015;1;Chaco;26.64959122;Internet;1;1;1-1-2015
2015;1;Chubut;37.61278069;Internet;1;1;1-1-2015
2015;1;Córdoba;54.6973465;Internet;1;1;1-1-2015
2015;1;Corrientes;28.95019128;Internet;1;1;1-1-2015
2015;1;Entre Ríos;42.06519337;Internet;1;1;1-1-2015
2015;1;Formosa;18.12270367;Internet;1;1;1-1-2015
2015;1;Jujuy;19.68971363;Internet;1;1;1-1-2015
2015;1;La Pampa;55.50803233;Internet;1;1;1-1-2015
2015;1;La Rioja;16.70320179;Internet;1;1;1-1-2015
2015;1;Mendoza;32.36588756;Internet;1;1;1-1-2015
2015;1;Misiones;26.30560411;Internet;1;1;1-1-2015
2015;1;Neuquén;51.95443674;Internet;1;1;1-1-2015
2015;1;Río Negro;45.32694907;Internet;1;1;1-1-2015
2015;1;Salta;30.00978823;Internet;1;1;1-1-2015
2015;1;San Juan;27.55319276;Internet;1;1;1-1-2015
2015;1;San Luis;9.716048964;Internet;1;1;1-1-2015
2015;1;Santa Cruz;27.99486394;Internet;1;1;1-1-2015
2015;1;Santa Fe;50.24449476;Internet;1;1;1-1-2015
2015;1;Santiago Del Estero;17.05581699;Internet;1;1;1-1-2015
2015;1;Tierra Del Fuego;74.2349517;Internet;1;1;1-1-2015
2015;1;Tucumán;35.07860689;Internet;1;1;1-1-2015
2015;2;Buenos Aires;56.80280561;Internet;1;4;1-4-2015
2015;2;Capital Federal;116.0662709;Internet;1;4;1-4-2015
2015;2;Catamarca;25.45341804;Internet;1;4;1-4-2015
2015;2;Chaco;27.46453939;Internet;1;4;1-4-2015
2015;2;Chubut;36.5824672;Internet;1;4;1-4-2015
2015;2;Córdoba;55.86916351;Internet;1;4;1-4-2015
2015;2;Corrientes;29.58401267;Internet;1;4;1-4-2015
2015;2;Entre Ríos;42.93197902;Internet;1;4;1-4-2015
2015;2;Formosa;18.36026721;Internet;1;4;1-4-2015
2015;2;Jujuy;20.28721908;Internet;1;4;1-4-2015
2015;2;La Pampa;56.70766523;Internet;1;4;1-4-2015
2015;2;La Rioja;16.88319098;Internet;1;4;1-4-2015
2015;2;Mendoza;32.49199583;Internet;1;4;1-4-2015
2015;2;Misiones;27.34768245;Internet;1;4;1-4-2015
2015;2;Neuquén;53.11733659;Internet;1;4;1-4-2015
2015;2;Río Negro;45.97612013;Internet;1;4;1-4-2015
2015;2;Salta;30.46112384;Internet;1;4;1-4-2015
2015;2;San Juan;27.64305342;Internet;1;4;1-4-2015
2015;2;San Luis;9.707971837;Internet;1;4;1-4-2015
2015;2;Santa Cruz;27.07224503;Internet;1;4;1-4-2015
2015;2;Santa Fe;51.17653891;Internet;1;4;1-4-2015
2015;2;Santiago Del Estero;17.11056663;Internet;1;4;1-4-2015
2015;2;Tierra Del Fuego;74.50787432;Internet;1;4;1-4-2015
2015;2;Tucumán;35.68770561;Internet;1;4;1-4-2015
2015;3;Buenos Aires;57.68868106;Internet;1;7;1-7-2015
2015;3;Capital Federal;118.2892112;Internet;1;7;1-7-2015
2015;3;Catamarca;25.86378118;Internet;1;7;1-7-2015
2015;3;Chaco;27.96307279;Internet;1;7;1-7-2015
2015;3;Chubut;36.81180991;Internet;1;7;1-7-2015
