Año;Trimestre;Tecnologia;Acceso a internet;Dia;Mes;Fecha
2016;1;ADSL;3792493;1;1;1-1-2016
2016;1;Cablemodem;2806359;1;1;1-1-2016
2016;1;Fibra óptica;164371;1;1;1-1-2016
2016;1;Wireless;85370;1;1;1-1-2016
2016;1;Otros;58763;1;1;1-1-2016
2015;4;ADSL;3803024;1;10;1-10-2015
2015;4;Cablemodem;2898226;1;10;1-10-2015
2015;4;Fibra óptica;139187;1;10;1-10-2015
2015;4;Wireless;85726;1;10;1-10-2015
2015;4;Otros;58668;1;10;1-10-2015
2015;3;ADSL;3788696;1;7;1-7-2015
2015;3;Cablemodem;2840203;1;7;1-7-2015
2015;3;Fibra óptica;162663;1;7;1-7-2015
2015;3;Wireless;84530;1;7;1-7-2015
2015;3;Otros;58976;1;7;1-7-2015
2015;2;ADSL;3767821;1;4;1-4-2015
2015;2;Cablemodem;2756294;1;4;1-4-2015
2015;2;Fibra óptica;150839;1;4;1-4-2015
2015;2;Wireless;82077;1;4;1-4-2015
2015;2;Otros;59157;1;4;1-4-2015
2015;1;ADSL;3756153;1;1;1-1-2015
2015;1;Cablemodem;2668248;1;1;1-1-2015
2015;1;Fibra óptica;168188;1;1;1-1-2015
2015;1;Wireless;79098;1;1;1-1-2015
2015;1;Otros;66045;1;1;1-1-2015
2014;4;ADSL;3764038;1;10;1-10-2014
2014;4;Cablemodem;2536219;1;10;1-10-2014
2014;4;Fibra óptica;149682;1;10;1-10-2014
2014;4;Wireless;76984;1;10;1-10-2014
2014;4;Otros;71573;1;10;1-10-2014
2014;3;ADSL;3714764;1;7;1-7-2014
2014;3;Cablemodem;2569868;1;7;1-7-2014
2014;3;Fibra óptica;155494;1;7;1-7-2014
2014;3;Wireless;85096;1;7;1-7-2014
2014;3;Otros;70049;1;7;1-7-2014
2014;2;ADSL;3708882;1;4;1-4-2014
2014;2;Cablemodem;2461670;1;4;1-4-2014
2014;2;Fibra óptica;149363;1;4;1-4-2014
2014;2;Wireless;72405;1;4;1-4-2014
2014;2;Otros;72148;1;4;1-4-2014
2014;1;ADSL;3697066;1;1;1-1-2014
2014;1;Cablemodem;2407330;1;1;1-1-2014
2014;1;Fibra óptica;150323;1;1;1-1-2014
2014;1;Wireless;70749;1;1;1-1-2014
2014;1;Otros;72930;1;1;1-1-2014
